target_name	baseline_name	evidence_occurrences	evidence_statement_pairs
_$q	K$q	1	1
_0_	K0_	2	2
_05	K05	2	2
_0K	K0K	3	3
_15	K15	1	1
_2_	K2_	2	2
_21	K21	2	2
_25	K25	2	2
_2K	K2K	3	3
_39	K39	2	2
_45	K45	1	1
_47	K47	2	2
_4K	K4K	2	2
_56	K56	3	3
_57	K57	2	2
_6_	K6_	2	2
_67	K67	3	3
_6K	K6K	2	2
_6q	K6q	2	2
_71	K71	3	3
_75	K75	1	1
_76	K76	6	3
_79	K79	2	2
_7K	K7K	2	2
_8_	K8_	3	3
_84	K84	2	2
_95	K95	1	1
_A5	KA5	1	1
_a6	Ka6	2	2
_a9	Ka9	2	2
_aq	Kaq	2	2
_b4	Kb4	3	2
_b5	Kb5	2	2
_b7	Kb7	2	2
_bK	KbK	4	3
_BK	KBK	1	1
_c_	Kc_	2	2
_C1	KC1	2	2
_C4	KC4	2	2
_C5	KC5	2	2
_CK	KCK	2	2
_d_	Kd_	2	2
_d1	Kd1	2	2
_D1	KD1	2	2
_d6	Kd6	2	1
_E_	KE_	2	1
_E1	KE1	3	3
_e7	Ke7	2	2
_E7	KE7	2	2
_e8	Ke8	2	2
_EK	KEK	1	1
_F_	KF_	2	2
_f5	Kf5	2	2
_g_	Kg_	2	2
_G_	KG_	2	2
_G6	KG6	4	4
_h_	Kh_	2	2
_h1	Kh1	1	1
_h7	Kh7	1	1
_H7	KH7	2	2
_HK	KHK	1	1
_I_	KI_	3	2
_i4	Ki4	1	1
_I7	KI7	3	2
_iK	KiK	2	2
_IK	KIK	2	2
_J_	KJ_	1	1
_j1	Kj1	2	2
_j4	Kj4	3	3
_j5	Kj5	1	1
_J6	KJ6	3	3
_k1	Kk1	2	2
_k5	Kk5	2	2
_k6	Kk6	3	3
_K6	KK6	2	2
_K9	KK9	2	1
_kK	KkK	3	2
_l_	Kl_	2	2
_L5	KL5	3	3
_l6	Kl6	4	2
_l9	Kl9	2	2
_Lq	KLq	2	1
_m_	Km_	3	2
_M1	KM1	2	1
_M6	KM6	2	2
_m7	Km7	3	3
_MK	KMK	3	3
_N1	KN1	1	1
_n4	Kn4	1	1
_n7	Kn7	1	1
_NK	KNK	2	2
_nq	Knq	2	2
_O1	KO1	2	2
_o4	Ko4	3	2
_o6	Ko6	2	2
_o9	Ko9	3	3
_O9	KO9	3	2
_oq	Koq	3	3
_p_	Kp_	2	2
_P_	KP_	3	3
_P1	KP1	2	1
_P5	KP5	2	2
_P6	KP6	2	2
_PK	KPK	3	3
_Pq	KPq	2	2
_q_	Kq_	2	2
_Q_	KQ_	2	2
_Q1	KQ1	2	2
_q6	Kq6	2	2
_q7	Kq7	3	3
_Q7	KQ7	1	1
_qq	Kqq	3	3
_r4	Kr4	3	2
_R4	KR4	2	2
_R5	KR5	2	2
_r6	Kr6	2	2
_R6	KR6	3	3
_rK	KrK	1	1
_S_	KS_	2	2
_S1	KS1	3	2
_S4	KS4	2	2
_S5	KS5	2	2
_S7	KS7	2	2
_s9	Ks9	1	1
_sK	KsK	2	2
_T5	KT5	2	2
_T7	KT7	2	2
_tK	KtK	2	2
_U_	KU_	2	2
_v_	Kv_	1	1
_V_	KV_	2	2
_v1	Kv1	1	1
_V5	KV5	2	1
_v7	Kv7	4	4
_vK	KvK	2	2
_w_	Kw_	1	1
_W_	KW_	2	2
_w1	Kw1	3	3
_W1	KW1	2	2
_W5	KW5	2	2
_W6	KW6	2	2
_W7	KW7	3	3
_wK	KwK	3	2
_WK	KWK	3	2
_x	Ax	9	9
_X5	KX5	2	2
_x6	Kx6	3	3
_xA	KxA	2	2
_xK	KxK	3	2
_y_	Ky_	1	1
_y1	Ky1	2	2
_Y5	KY5	2	2
_Y9	KY9	2	2
_yK	KyK	2	2
_YK	KYK	2	2
_Z_	KZ_	2	2
_z5	Kz5	2	2
_Z5	KZ5	2	2
$_q	H_q	2	2
$$q	H$q	1	1
$0_	H0_	2	2
$05	H05	1	1
$0K	H0K	2	2
$15	H15	1	1
$2_	H2_	2	2
$21	H21	2	2
$25	H25	3	3
$2K	H2K	2	2
$31	H31	3	3
